_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,audio_name,audio_url
{},False,{},49,2023-11-29 15:56:01,False,,,RatingTrial,43,43,True,43,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_021.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_021.wav""}",True,False,,0.0,,4,True,78.0,,,42.7,115.0,135.0,20.0,0,default,RatingTrial,Info,NHS_orig_021.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_021.wav
{},False,{},50,2023-11-29 15:56:09,False,,,RatingTrial,38,38,True,38,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_086.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_086.wav""}",True,False,,0.0,,3,True,77.0,,,33.084,215.0,235.0,20.0,0,default,RatingTrial,Info,NHS_orig_086.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_086.wav
{},False,{},51,2023-11-29 15:56:19,False,,,RatingTrial,25,25,True,25,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_104.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_104.wav""}",True,False,,0.0,,2,True,76.0,,,17.863,115.0,135.0,20.0,0,default,RatingTrial,Info,NHS_orig_104.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_104.wav
{},False,{},52,2023-11-29 15:56:38,False,,,RatingTrial,29,29,True,29,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_071.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_071.wav""}",True,False,,0.0,,4,True,81.0,,,16.371,135.0,155.0,20.0,0,default,RatingTrial,Info,NHS_orig_071.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_071.wav
{},False,{},53,2023-11-29 15:56:42,False,,,RatingTrial,26,26,True,26,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_105.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_105.wav""}",True,False,,0.0,,5,True,83.0,,,18.287,235.0,255.0,20.0,0,default,RatingTrial,Info,NHS_orig_105.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_105.wav
{},False,{},54,2023-11-29 15:56:45,False,,,RatingTrial,33,33,True,33,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_109.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_109.wav""}",True,False,,0.0,,1,True,84.0,,,18.0,135.0,155.0,20.0,0,default,RatingTrial,Info,NHS_orig_109.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_109.wav
{},False,{},55,2023-11-29 15:56:55,False,,,RatingTrial,18,18,True,18,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_076.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_076.wav""}",True,False,,0.0,,4,True,86.0,,,28.099,155.0,175.0,20.0,0,default,RatingTrial,Info,NHS_orig_076.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_076.wav
{},False,{},56,2023-11-29 15:57:01,False,,,RatingTrial,22,22,True,22,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_107.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_107.wav""}",True,False,,0.0,,3,True,85.0,,,18.772,255.0,275.0,20.0,0,default,RatingTrial,Info,NHS_orig_107.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_107.wav
{},False,{},57,2023-11-29 15:57:03,False,,,RatingTrial,15,15,True,15,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_074.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_074.wav""}",True,False,,0.0,,6,True,87.0,,,21.517,155.0,175.0,20.0,0,default,RatingTrial,Info,NHS_orig_074.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_074.wav
{},False,{},58,2023-11-29 15:57:21,False,,,RatingTrial,18,18,True,18,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_076.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_076.wav""}",True,False,,0.0,,5,True,98.0,,,45.132,275.0,295.0,20.0,0,default,RatingTrial,Info,NHS_orig_076.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_076.wav
{},False,{},59,2023-11-29 15:57:23,False,,,RatingTrial,9,9,True,9,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_038.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_038.wav""}",True,False,,0.0,,3,True,90.0,,,16.534,175.0,195.0,20.0,0,default,RatingTrial,Info,NHS_orig_038.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_038.wav
{},False,{},60,2023-11-29 15:57:26,False,,,RatingTrial,19,19,True,19,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_117.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_117.wav""}",True,False,,0.0,,1,True,97.0,,,39.088,175.0,195.0,20.0,0,default,RatingTrial,Info,NHS_orig_117.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_117.wav
{},False,{},63,2023-11-29 15:57:41,False,,,RatingTrial,14,14,True,14,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_100.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_100.wav""}",True,False,,0.0,,3,True,95.0,,,17.141,195.0,215.0,20.0,0,default,RatingTrial,Info,NHS_orig_100.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_100.wav
{},False,{},67,2023-11-29 15:57:58,False,,,RatingTrial,28,28,True,28,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_065.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_065.wav""}",True,False,,0.0,,3,True,102.0,,,17.389,215.0,235.0,20.0,0,default,RatingTrial,Info,NHS_orig_065.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_065.wav
{},False,{},69,2023-11-29 15:58:06,False,,,RatingTrial,16,16,True,16,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_048.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_048.wav""}",True,False,,0.0,,2,True,103.0,,,17.089,195.0,215.0,20.0,0,default,RatingTrial,Info,NHS_orig_048.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_048.wav
{},False,{},70,2023-11-29 15:58:07,False,,,RatingTrial,21,21,True,21,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_077.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_077.wav""}",True,False,,0.0,,2,True,107.0,,,31.007,295.0,315.0,20.0,0,default,RatingTrial,Info,NHS_orig_077.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_077.wav
{},False,{},71,2023-11-29 15:58:16,False,,,RatingTrial,28,28,True,28,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_065.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_065.wav""}",True,False,,0.0,,3,True,106.0,,,17.347,95.0,115.0,20.0,0,default,RatingTrial,Info,NHS_orig_065.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_065.wav
{},False,{},72,2023-11-29 15:58:16,False,,,RatingTrial,41,41,True,41,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_023.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_023.wav""}",True,False,,0.0,,2,True,105.0,,,16.851,235.0,255.0,20.0,0,default,RatingTrial,Info,NHS_orig_023.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_023.wav
{},False,{},73,2023-11-29 15:58:24,False,,,RatingTrial,44,44,True,44,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_009.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_009.wav""}",True,False,,0.0,,5,True,108.0,,,17.172,215.0,235.0,20.0,0,default,RatingTrial,Info,NHS_orig_009.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_009.wav
{},False,{},74,2023-11-29 15:58:34,False,,,RatingTrial,7,7,True,7,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_014.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_014.wav""}",True,False,,0.0,,3,True,109.0,,,16.497,255.0,275.0,20.0,0,default,RatingTrial,Info,NHS_orig_014.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_014.wav
{},False,{},75,2023-11-29 15:58:34,False,,,RatingTrial,21,21,True,21,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_077.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_077.wav""}",True,False,,0.0,,3,True,110.0,,,16.205,115.0,135.0,20.0,0,default,RatingTrial,Info,NHS_orig_077.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_077.wav
{},False,{},76,2023-11-29 15:58:39,False,,,RatingTrial,17,17,True,17,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_062.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_062.wav""}",True,False,,0.0,,1,True,112.0,,,17.038,315.0,335.0,20.0,0,default,RatingTrial,Info,NHS_orig_062.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_062.wav
{},False,{},77,2023-11-29 15:58:42,False,,,RatingTrial,36,36,True,36,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_052.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_052.wav""}",True,False,,0.0,,1,True,113.0,,,17.195,235.0,255.0,20.0,0,default,RatingTrial,Info,NHS_orig_052.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_052.wav
{},False,{},78,2023-11-29 15:58:51,False,,,RatingTrial,40,40,True,40,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_078.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav""}",True,False,,0.0,,4,True,114.0,,,16.147,275.0,295.0,20.0,0,default,RatingTrial,Info,NHS_orig_078.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav
{},False,{},79,2023-11-29 15:58:52,False,,,RatingTrial,40,40,True,40,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_078.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav""}",True,False,,0.0,,3,True,115.0,,,16.551,135.0,155.0,20.0,0,default,RatingTrial,Info,NHS_orig_078.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav
{},False,{},81,2023-11-29 15:58:57,False,,,RatingTrial,42,42,True,42,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_034.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_034.wav""}",True,False,,0.0,,3,True,116.0,,,17.908,335.0,355.0,20.0,0,default,RatingTrial,Info,NHS_orig_034.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_034.wav
{},False,{},82,2023-11-29 15:59:00,False,,,RatingTrial,40,40,True,40,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_078.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav""}",True,False,,0.0,,4,True,117.0,,,17.033,255.0,275.0,20.0,0,default,RatingTrial,Info,NHS_orig_078.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav
{},False,{},83,2023-11-29 15:59:08,False,,,RatingTrial,13,13,True,13,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_114.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_114.wav""}",True,False,,0.0,,3,True,119.0,,,16.57,295.0,315.0,20.0,0,default,RatingTrial,Info,NHS_orig_114.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_114.wav
{},False,{},84,2023-11-29 15:59:09,False,,,RatingTrial,45,45,True,45,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_030.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_030.wav""}",True,False,,0.0,,4,True,120.0,,,16.932,155.0,175.0,20.0,0,default,RatingTrial,Info,NHS_orig_030.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_030.wav
{},False,{},85,2023-11-29 15:59:16,False,,,RatingTrial,24,24,True,24,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_070.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_070.wav""}",True,False,,0.0,,5,True,132.0,,,48.537,355.0,375.0,20.0,0,default,RatingTrial,Info,NHS_orig_070.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_070.wav
{},False,{},86,2023-11-29 15:59:18,False,,,RatingTrial,45,45,True,45,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_030.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_030.wav""}",True,False,,0.0,,5,True,122.0,,,18.087,275.0,295.0,20.0,0,default,RatingTrial,Info,NHS_orig_030.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_030.wav
{},False,{},88,2023-11-29 15:59:25,False,,,RatingTrial,12,12,True,12,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_101.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_101.wav""}",True,False,,0.0,,5,True,124.0,,,16.525,315.0,335.0,20.0,0,default,RatingTrial,Info,NHS_orig_101.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_101.wav
{},False,{},89,2023-11-29 15:59:28,False,,,RatingTrial,8,8,True,8,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_028.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_028.wav""}",True,False,,0.0,,4,True,125.0,,,16.702,175.0,195.0,20.0,0,default,RatingTrial,Info,NHS_orig_028.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_028.wav
{},False,{},91,2023-11-29 15:59:37,False,,,RatingTrial,23,23,True,23,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_099.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_099.wav""}",True,False,,0.0,,4,True,127.0,,,16.854,295.0,315.0,20.0,0,default,RatingTrial,Info,NHS_orig_099.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_099.wav
{},False,{},93,2023-11-29 15:59:42,False,,,RatingTrial,23,23,True,23,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_099.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_099.wav""}",True,False,,0.0,,4,True,129.0,,,16.526,335.0,355.0,20.0,0,default,RatingTrial,Info,NHS_orig_099.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_099.wav
{},False,{},94,2023-11-29 15:59:45,False,,,RatingTrial,27,27,True,27,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_059.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_059.wav""}",True,False,,0.0,,3,True,130.0,,,16.313,195.0,215.0,20.0,0,default,RatingTrial,Info,NHS_orig_059.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_059.wav
{},False,{},96,2023-11-29 15:59:54,False,,,RatingTrial,35,35,True,35,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_081.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav""}",True,False,,0.0,,1,True,133.0,,,17.024,315.0,335.0,20.0,0,default,RatingTrial,Info,NHS_orig_081.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav
{},False,{},98,2023-11-29 15:59:59,False,,,RatingTrial,35,35,True,35,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_081.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav""}",True,False,,0.0,,2,True,134.0,,,19.437,355.0,375.0,20.0,0,default,RatingTrial,Info,NHS_orig_081.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav
{},False,{},99,2023-11-29 16:00:03,False,,,RatingTrial,24,24,True,24,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_070.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_070.wav""}",True,False,,0.0,,4,True,136.0,,,24.097,215.0,235.0,20.0,0,default,RatingTrial,Info,NHS_orig_070.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_070.wav
{},False,{},100,2023-11-29 16:00:05,False,,,RatingTrial,35,35,True,35,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_081.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav""}",True,False,,0.0,,2,True,135.0,,,17.243,375.0,395.0,20.0,0,default,RatingTrial,Info,NHS_orig_081.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav
{},False,{},101,2023-11-29 16:00:12,False,,,RatingTrial,29,29,True,29,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_071.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_071.wav""}",True,False,,0.0,,6,True,137.0,,,16.873,335.0,355.0,20.0,0,default,RatingTrial,Info,NHS_orig_071.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_071.wav
{},False,{},102,2023-11-29 16:00:19,False,,,RatingTrial,33,33,True,33,3,23,audio_experiment,"{""audio_name"": ""NHS_orig_109.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_109.wav""}",True,False,,0.0,,5,True,138.0,,,20.29,375.0,395.0,20.0,0,default,RatingTrial,Info,NHS_orig_109.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_109.wav
{},False,{},103,2023-11-29 16:00:24,False,,,RatingTrial,12,12,True,12,2,10,audio_experiment,"{""audio_name"": ""NHS_orig_101.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_101.wav""}",True,False,,0.0,,2,True,139.0,,,18.827,395.0,415.0,20.0,0,default,RatingTrial,Info,NHS_orig_101.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_101.wav
{},False,{},104,2023-11-29 16:00:28,False,,,RatingTrial,7,7,True,7,7,28,audio_experiment,"{""audio_name"": ""NHS_orig_014.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_014.wav""}",True,False,,0.0,,4,True,144.0,,,34.603,235.0,255.0,20.0,0,default,RatingTrial,Info,NHS_orig_014.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_014.wav
{},False,{},105,2023-11-29 16:00:30,False,,,RatingTrial,30,30,True,30,6,22,audio_experiment,"{""audio_name"": ""NHS_orig_054.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_054.wav""}",True,False,,0.0,,2,True,140.0,,,16.695,355.0,375.0,20.0,0,default,RatingTrial,Info,NHS_orig_054.wav,https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_054.wav
